altitude,geo_altitude,height,horizontal_accuracy,location.lat,location.lon,pressure,speed_accuracy,time,velocity.x,velocity.y,velocity.z,vertical_accuracy
82.14,115.85649546827797,87.35,1.0,60.13040542602539,24.51554298400879,1003.4230004138685,,2026-01-27T15:33:08Z,0.2,-1.6,0.0,1.0
82.25,115.85649546827797,87.46,1.0,60.130393981933594,24.515546798706055,1003.409649813759,,2026-01-27T15:33:09Z,0.2,-1.0,0.0,1.0
82.47,115.85649546827797,87.68,1.0,60.13038635253906,24.515548706054688,1003.3829486135401,,2026-01-27T15:33:10Z,0.0,0.0,0.0,1.0
83.59,115.85649546827797,88.8,1.0,60.13038635253906,24.51555061340332,1003.2494426124453,,2026-01-27T15:33:11Z,0.0,0.0,0.0,1.0
83.37,115.85649546827797,88.58,1.0,60.1303825378418,24.515546798706055,1003.2761438126643,,2026-01-27T15:33:12Z,-0.2,-0.4,0.0,1.0
82.59,115.85649546827797,87.8,1.0,60.130367279052734,24.51552963256836,1003.3695980134306,,2026-01-27T15:33:13Z,-1.2000000000000002,-2.4000000000000004,0.0,1.0
82.25,115.68865391070831,87.46,1.0,60.13033676147461,24.51549530029297,1003.409649813759,,2026-01-27T15:33:14Z,-2.2,-4.2,0.0,1.0
83.93,115.68865391070831,89.14,1.0,60.13029098510742,24.515453338623047,1003.2093908121169,,2026-01-27T15:33:15Z,-2.2,-4.4,0.0,1.0
82.7,115.52081235313865,87.91,1.0,60.130252838134766,24.515411376953125,1003.3562474133211,,2026-01-27T15:33:16Z,-2.2,-4.4,0.0,1.0
82.25,115.52081235313865,87.46,1.0,60.13021469116211,24.51536750793457,1003.409649813759,,2026-01-27T15:33:17Z,-2.2,-4.4,0.0,1.0
82.36,115.52081235313865,87.57,1.0,60.13017654418945,24.51533317565918,1003.3962992136495,,2026-01-27T15:33:18Z,-1.6,-3.0,0.0,1.0
83.15,113.84239677744212,88.36,1.0,60.130165100097656,24.515316009521484,1003.3028450128832,,2026-01-27T15:33:19Z,-0.2,-0.4,2.4000000000000004,1.0
80.34,109.98204095334006,85.55,1.0,60.130165100097656,24.51531410217285,1003.63661001562,,2026-01-27T15:33:20Z,0.0,0.0,4.4,1.0
74.63,105.28247734138975,79.84,1.0,60.130157470703125,24.515308380126953,1004.3174906212033,,2026-01-27T15:33:21Z,-0.2,-0.6000000000000001,4.6000000000000005,1.0
