time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
0,2026-01-27 15:27:14,60.1304596,24.5154963,0.545,0.545,16.1022892,16.6472892,0,0.0210238,0,0,23,87,0,16.6472892,0.545,0.0210238,0,0,0,0.1,214.9, 0, -0.2,0,0,1024,1024,1689,1024,0,0,100,0,216.83,0,0,61,,,,,,,0,17.6,16.6472892,0.545,6,P-GPS,
200,2026-01-27 15:27:14,60.1304596,24.5154962,0.794,0.794,16.1022892,16.8962892,0,0.0354683,0.00553836,0.00553836,23,87,0,16.8962892,0.794,0.0354683,0.00553836,0,0,0.1,214.9, 0.7, -0.3,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,0,17.6,16.8962892,0.794,6,P-GPS,
400,2026-01-27 15:27:14,60.1304596,24.515496,1.091,1.091,16.1022892,17.1932892,0,0.0126491,0.0166151,0.0166151,23,87,0,17.1932892,1.091,0.0354683,0.0166151,0,0,0.2,215, 0.9, -0.6,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,0,17.6,17.1932892,1.091,6,P-GPS,
600,2026-01-27 15:27:15,60.1304596,24.5154961,1.461,1.461,16.1022892,17.5632892,0,0.0494975,0.0110767,0.0221534,23,86,0,17.5632892,1.461,0.0494975,0.0166151,0,0,0.2,214.9, 0.1, -0.2,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,0,17.6,17.5632892,1.461,6,P-GPS,
800,2026-01-27 15:27:15,60.1304597,24.5154962,1.958,1.958,16.1022892,18.0602892,0,0.0467547,0.0124234,0.0345769,23,86,0,18.0602892,1.958,0.0494975,0.0166151,0,0,0.3,215, -0.8, -0.3,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,0,17.6,18.0602892,1.958,6,P-GPS,
1000,2026-01-27 15:27:15,60.1304597,24.5154963,2.643,2.643,16.1022892,18.7452892,0,0.0210238,0.0111206,0.0401152,23,95,14.673,18.7452892,2.643,0.0494975,0.0166151,0,0,0.4,215, -1.1, -0.1,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,15.308,17.6,18.7452892,2.643,6,P-GPS,
1200,2026-01-27 15:27:15,60.1304597,24.5154963,2.643,2.643,16.1022892,18.7452892,0,0.0210238,0.0111206,0.0401152,23,95,14.673,18.7452892,2.643,0.0494975,0.0166151,0,0,0.4,215, -1.1, -0.1,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,15.308,17.6,18.7452892,2.643,6,P-GPS,
1400,2026-01-27 15:27:15,60.1304597,24.5154961,4.542,4.542,16.1022892,20.6442892,0,0.0788923,0.0156959,0.051192,23,95,14.673,20.6442892,4.542,0.0788923,0.0166151,0,0,0.6,214.9, 0.2, -0.3,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,15.308,17.6,20.6442892,4.542,6,P-GPS,
1600,2026-01-27 15:27:16,60.1304596,24.5154958,5.657,5.657,16.1022892,21.7592892,0,0.0801311,0.0276918,0.0711852,23,97,14.673,21.7592892,5.657,0.0801311,0.0276918,0,0,0.6,215, 1, -1.3,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,15.308,17.6,21.7592892,5.657,6,P-GPS,
1800,2026-01-27 15:27:16,60.1304596,24.5154958,5.657,5.657,16.1022892,21.7592892,0,0.0801311,0.0276918,0.0711852,23,97,14.673,21.7592892,5.657,0.0801311,0.0276918,0,0,0.6,215, 1, -1.3,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,15.308,17.6,21.7592892,5.657,6,P-GPS,
2000,2026-01-27 15:27:16,60.1304595,24.5154954,7.975,7.975,16.1022892,24.0772892,0,0.0331059,0.0510707,0.0959731,23,95,14.535,24.0772892,7.975,0.0801311,0.0510707,0,0,0.6,215, 2.2, -1.3,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,21.086,17.6,24.0772892,7.975,6,P-GPS,
2200,2026-01-27 15:27:16,60.1304595,24.5154955,9.138,9.138,16.1022892,25.2402892,0,0.01,0.0456812,0.101512,23,95,14.535,25.2402892,9.138,0.0801311,0.0510707,0,0,0.6,214.9, 2, -1.3,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,21.086,17.6,25.2402892,9.138,6,P-GPS,
2400,2026-01-27 15:27:16,60.1304594,24.5154957,10.294,10.294,16.1022892,26.3962892,0,0.0151327,0.0399865,0.117207,23,95,14.535,26.3962892,10.294,0.0801311,0.0510707,0,0,0.6,215, 1.8, -0.8,0,0,1024,1024,1621,1024,0,0,90,0,216.58,0,0,61,,,,,,,21.086,17.6,26.3962892,10.294,6,P-GPS,
2600,2026-01-27 15:27:17,60.1304594,24.5154957,11.441,11.441,16.1022892,27.5432892,0,0.0164012,0.0399865,0.117207,25,95,14.535,27.5432892,11.441,0.0801311,0.0510707,0,0,0.6,215.1, 1.8, -1,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,21.086,17.6,27.5432892,11.441,6,P-GPS,
2800,2026-01-27 15:27:17,60.1304594,24.5154956,12.565,12.565,16.1022892,28.6672892,0,0.0447214,0.0446953,0.122746,25,95,14.535,28.6672892,12.565,0.0801311,0.0510707,0,0,0.5,214.9, 2.7, -1.2,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,21.086,17.6,28.6672892,12.565,6,P-GPS,
3000,2026-01-27 15:27:17,60.1304593,24.5154954,13.666,13.666,16.1022892,29.7682892,0,0.0444185,0.0599797,0.138442,25,97,14.762,29.7682892,13.666,0.0801311,0.0599797,0,0,0.6,215.1, 3.5, -2,0,0,1024,1024,1689,1024,0,0,100,0,216.58,0,0,61,,,,,,,27.06,17.6,29.7682892,13.666,6,P-GPS,
3200,2026-01-27 15:27:17,60.1304593,24.5154953,14.774,14.774,16.1022892,30.8762892,0,0.0128062,0.0646557,0.14398,25,97,14.762,30.8762892,14.774,0.0801311,0.0646557,0,0,0.5,215, 4.3, -2.2,0,0,1024,1024,1024,1024,0,0,0,0,216.58,0,0,61,,,,,,,27.06,17.6,30.8762892,14.774,6,P-GPS,
3400,2026-01-27 15:27:17,60.1304593,24.5154955,15.843,15.843,16.1022892,31.9452892,0,0.0152643,0.0554627,0.155057,25,97,14.762,31.9452892,15.843,0.0801311,0.0646557,0,0,0.5,215, 3.6, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,216.58,0,0,61,,,,,,,27.06,17.6,31.9452892,15.843,6,P-GPS,
3600,2026-01-27 15:27:18,60.1304593,24.5154957,16.743,16.743,16.1022892,32.8452892,0,0.017,0.0470877,0.166134,25,98,14.762,32.8452892,16.743,0.0801311,0.0646557,0,0,0.4,215.1, 2.9, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,216.58,0,0,61,,,,,,,27.06,17.6,32.8452892,16.743,6,P-GPS,
3800,2026-01-27 15:27:18,60.1304593,24.5154957,16.743,16.743,16.1022892,32.8452892,0,0.017,0.0470877,0.166134,25,98,14.762,32.8452892,16.743,0.0801311,0.0646557,0,0,0.4,215.1, 2.9, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,216.58,0,0,61,,,,,,,27.06,17.6,32.8452892,16.743,6,P-GPS,
4000,2026-01-27 15:27:18,60.1304593,24.5154957,17.457,17.457,16.1022892,33.5592892,0,0.0144222,0.0470877,0.166134,25,98,14.671,33.5592892,17.457,0.0801311,0.0646557,0,0,0.3,215, 2.8, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,216.58,0,0,61,,,,,,,22.79,17.7,33.5592892,17.457,6,P-GPS,
4200,2026-01-27 15:27:18,60.1304593,24.5154956,17.984,17.984,16.1022892,34.0862892,0,0.0235372,0.051147,0.171672,25,98,14.671,34.0862892,17.984,0.0801311,0.0646557,0,0,0.2,215, 3, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,216.58,0,0,61,,,,,,,22.79,17.7,34.0862892,17.984,6,P-GPS,
4400,2026-01-27 15:27:18,60.1304593,24.5154955,18.502,18.502,16.1022892,34.6042892,0,0.0193132,0.0554627,0.17721,25,98,14.671,34.6042892,18.502,0.0801311,0.0646557,0,0,0,215.1, 2.8, -1,0,0,1024,1024,1024,1297,0,0,0,41,216.05,0,0,61,,,,,,,22.79,17.7,34.6042892,18.502,6,P-GPS,
4600,2026-01-27 15:27:19,60.1304593,24.5154955,18.502,18.502,16.1022892,34.6042892,0,0.0193132,0.0554627,0.17721,25,96,14.671,34.6042892,18.502,0.0801311,0.0646557,0,0,0,215.1, 2.8, -1,0,0,1024,1024,1024,1455,0,0,0,65,216.05,0,0,61,,,,,,,22.79,17.7,34.6042892,18.502,6,P-GPS,
4800,2026-01-27 15:27:19,60.1304593,24.5154955,18.546,18.546,16.1022892,34.6482892,0,0.0108167,0.0554627,0.17721,25,96,14.671,34.6482892,18.546,0.0801311,0.0646557,0,0,0,216.5, 2.4, -1,0,0,1024,1024,1024,1572,0,0,0,83,216.39,0,0,61,,,,,,,22.79,17.7,34.6482892,18.546,6,P-GPS,
5000,2026-01-27 15:27:19,60.1304593,24.5154956,18.557,18.557,16.1022892,34.6592892,0,0.00223607,0.051147,0.182749,25,96,14.93,34.6592892,18.557,0.0801311,0.0646557,0,0,0,219.9, 2.5, -0.8,0,0,1024,1024,1024,1636,0,0,0,93,219.2,0,0,61,,,,,,,14.622,17.8,34.6592892,18.557,6,P-GPS,
5200,2026-01-27 15:27:19,60.1304593,24.5154956,18.561,18.561,16.1022892,34.6632892,0,0.026,0.051147,0.182749,25,96,14.93,34.6632892,18.561,0.0801311,0.0646557,0,0,0,225.7, 2.7, -0.6,0,0,1024,1024,1024,1635,0,0,0,93,224.21,0,0,61,,,,,,,14.622,17.8,34.6632892,18.561,6,P-GPS,
5400,2026-01-27 15:27:19,60.1304594,24.5154958,18.564,18.564,16.1022892,34.6662892,0,0.0485489,0.0355177,0.198445,25,96,14.93,34.6662892,18.564,0.0801311,0.0646557,0,0,0,233.5, 2.4, -0.7,0,0,1024,1024,1024,1526,0,0,0,76,232.26,0,0,61,,,,,,,14.622,17.8,34.6662892,18.564,6,P-GPS,
5600,2026-01-27 15:27:20,60.1304594,24.5154961,18.567,18.567,16.1022892,34.6692892,0,0.0600333,0.0248468,0.21506,25,97,14.93,34.6692892,18.567,0.0801311,0.0646557,0,0,0,242.7, 1.6, 0.2,0,0,1024,1024,1024,1241,0,0,0,33,241.2,0,0,61,,,,,,,14.622,17.8,34.6692892,18.567,6,P-GPS,
5800,2026-01-27 15:27:20,60.1304594,24.5154962,18.57,18.57,16.1022892,34.6722892,0,0.0392173,0.0229204,0.220598,25,97,14.93,34.6722892,18.57,0.0801311,0.0646557,0,0,0,251.4, 1.1, 1.1,0,0,1024,1024,1024,1024,0,0,0,0,250.4,0,0,61,,,,,,,14.622,17.8,34.6722892,18.57,6,P-GPS,
6000,2026-01-27 15:27:20,60.1304594,24.5154963,18.572,18.572,16.1022892,34.6742892,0,0.00984886,0.0222412,0.226136,25,97,15.07,34.6742892,18.572,0.0801311,0.0646557,0,0,0,254.7, 1.2, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,254.35,0,0,61,,,,,,,10.648,17.8,34.6742892,18.572,6,P-GPS,
6200,2026-01-27 15:27:20,60.1304594,24.5154963,18.572,18.572,16.1022892,34.6742892,0,0.0220227,0.0222412,0.226136,25,97,15.07,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.1, 1.6, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,255.13,0,0,61,,,,,,,10.648,17.8,34.6742892,18.572,6,P-GPS,
6400,2026-01-27 15:27:20,60.1304593,24.5154963,18.572,18.572,16.1022892,34.6742892,0,0.0344819,0.0333618,0.237257,25,97,15.07,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.3, 2.4, 2.4,0,0,1024,1024,1024,1024,0,0,0,0,255.33,0,0,61,,,,,,,10.648,17.8,34.6742892,18.572,6,P-GPS,
6600,2026-01-27 15:27:21,60.1304592,24.5154963,18.572,18.572,16.1022892,34.6742892,0,0.00806226,0.0444824,0.248378,25,98,15.07,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 2.4, 2.7,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,10.648,17.8,34.6742892,18.572,6,P-GPS,
6800,2026-01-27 15:27:21,60.1304593,24.5154964,18.569,18.569,16.1022892,34.6712892,0,0.0237697,0.0338184,0.260801,25,98,15.07,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 2, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,10.648,17.8,34.6712892,18.569,6,P-GPS,
7000,2026-01-27 15:27:21,60.1304594,24.5154964,18.567,18.567,16.1022892,34.6692892,0,0.0420119,0.0229204,0.271922,24,98,15.071,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 1.6, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.866,17.8,34.6692892,18.567,6,P-GPS,
7200,2026-01-27 15:27:21,60.1304596,24.5154964,18.563,18.563,16.1022892,34.6652892,0,0.0414367,0.00553836,0.294163,24,98,15.071,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 1.6, 1,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.866,17.8,34.6652892,18.563,6,P-GPS,
7400,2026-01-27 15:27:21,60.1304596,24.5154963,18.562,18.562,16.1022892,34.6642892,0,0.0264008,0,0.299701,24,98,15.071,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.5, 1.8, 0.8,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.866,17.8,34.6642892,18.562,6,P-GPS,
7600,2026-01-27 15:27:22,60.1304596,24.5154963,18.559,18.559,16.1022892,34.6612892,0,0.0134164,0,0.299701,23,99,15.071,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 1.9, 1,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.866,17.8,34.6612892,18.559,6,P-GPS,
7800,2026-01-27 15:27:22,60.1304596,24.5154963,18.558,18.558,16.1022892,34.6602892,0,0.0170294,0,0.299701,23,99,15.071,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 2, 1.3,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.866,17.8,34.6602892,18.558,6,P-GPS,
8000,2026-01-27 15:27:22,60.1304596,24.5154962,18.558,18.558,16.1022892,34.6602892,0,0.0235372,0.00553836,0.305239,24,99,15.091,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 2.4, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.506,17.9,34.6602892,18.558,6,P-GPS,
8200,2026-01-27 15:27:22,60.1304595,24.5154961,18.559,18.559,16.1022892,34.6612892,0,0.0180278,0.0156959,0.317663,24,99,15.091,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.5, 2.6, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.506,17.9,34.6612892,18.559,6,P-GPS,
8400,2026-01-27 15:27:22,60.1304595,24.5154961,18.558,18.558,16.1022892,34.6602892,0,0.0111803,0.0156959,0.317663,24,99,15.091,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.5, 2.5, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.506,17.9,34.6602892,18.558,6,P-GPS,
8600,2026-01-27 15:27:23,60.1304594,24.5154962,18.558,18.558,16.1022892,34.6602892,0,0.00447214,0.0229204,0.330086,24,99,15.091,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 2.2, 2.4,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.506,17.9,34.6602892,18.558,6,P-GPS,
8800,2026-01-27 15:27:23,60.1304594,24.5154963,18.557,18.557,16.1022892,34.6592892,0,0.00447214,0.0222412,0.335625,24,99,15.091,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 2, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.506,17.9,34.6592892,18.557,6,P-GPS,
9000,2026-01-27 15:27:23,60.1304593,24.5154964,18.556,18.556,16.1022892,34.6582892,0,0.00707107,0.0338184,0.348048,24,99,14.868,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 1.7, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.51,17.9,34.6582892,18.556,6,P-GPS,
9200,2026-01-27 15:27:23,60.1304594,24.5154965,18.555,18.555,16.1022892,34.6572892,0,0.0100499,0.0248468,0.360472,24,99,14.868,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 1.6, 2.5,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.51,17.9,34.6572892,18.555,6,P-GPS,
9400,2026-01-27 15:27:23,60.1304594,24.5154966,18.555,18.555,16.1022892,34.6572892,0,0.0104403,0.0277621,0.36601,24,99,14.868,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 1.5, 2.3,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.51,17.9,34.6572892,18.555,6,P-GPS,
9600,2026-01-27 15:27:24,60.1304594,24.5154966,18.553,18.553,16.1022892,34.6552892,0,0.0106301,0.0277621,0.36601,24,99,14.868,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 1.6, 2.2,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.51,17.9,34.6552892,18.553,6,P-GPS,
9800,2026-01-27 15:27:24,60.1304595,24.5154965,18.553,18.553,16.1022892,34.6552892,0,0.0223607,0.0156959,0.378433,24,99,14.868,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 1.7, 2.3,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.51,17.9,34.6552892,18.553,6,P-GPS,
10000,2026-01-27 15:27:24,60.1304596,24.5154963,18.553,18.553,16.1022892,34.6552892,0,0.0327567,0,0.394129,24,99,14.91,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.5, 2, 1.9,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.666,18,34.6552892,18.553,6,P-GPS,
10200,2026-01-27 15:27:24,60.1304596,24.5154961,18.553,18.553,16.1022892,34.6552892,0,0.0224722,0.0110767,0.405206,24,99,14.91,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.5, 2.4, 1.5,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.666,18,34.6552892,18.553,6,P-GPS,
10400,2026-01-27 15:27:24,60.1304597,24.5154961,18.553,18.553,16.1022892,34.6552892,0,0.0113137,0.0156959,0.416327,24,99,14.91,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.5, 2.2, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.666,18,34.6552892,18.553,6,P-GPS,
10600,2026-01-27 15:27:25,60.1304597,24.515496,18.554,18.554,16.1022892,34.6562892,0,0.0143178,0.0199932,0.421865,25,99,14.91,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 1.9, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.666,18,34.6562892,18.554,6,P-GPS,
10800,2026-01-27 15:27:25,60.1304597,24.515496,18.554,18.554,16.1022892,34.6562892,0,0.0170294,0.0199932,0.421865,25,99,14.91,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.5, 2.1, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.666,18,34.6562892,18.554,6,P-GPS,
11000,2026-01-27 15:27:25,60.1304596,24.515496,18.551,18.551,16.1022892,34.6532892,0,0.010198,0.0166151,0.432986,25,99,15.078,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.5, 2.1, 1.9,0,0,1024,1024,1024,1024,0,0,0,0,255.37,0,0,61,,,,,,,13.58,18,34.6532892,18.551,6,P-GPS,
11200,2026-01-27 15:27:25,60.1304596,24.515496,18.549,18.549,16.1022892,34.6512892,0,0.00509902,0.0166151,0.432986,25,99,15.078,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.4, 2, 1.8,0,0,1024,1024,1024,1311,0,0,0,43,255.37,0,0,61,,,,,,,13.58,18,34.6512892,18.549,6,P-GPS,
11400,2026-01-27 15:27:25,60.1304596,24.5154961,18.547,18.547,16.1022892,34.6492892,0,0.00761577,0.0110767,0.438524,25,99,15.078,34.6742892,18.572,0.0801311,0.0646557,0,0,0,255.5, 1.8, 1.9,0,0,1024,1024,1024,1689,0,0,0,100,255.52,0,0,61,,,,,,,13.58,18,34.6492892,18.547,6,P-GPS,
11600,2026-01-27 15:27:26,60.1304595,24.5154963,18.545,18.545,16.1022892,34.6472892,0,0.00707107,0.0111206,0.45422,25,99,15.078,34.6742892,18.572,0.0801311,0.0646557,0,0,0,257.3, 1.4, 2.1,0,0,1024,1024,1024,1689,0,0,0,100,257.86,0,0,61,,,,,,,13.58,18,34.6472892,18.545,6,P-GPS,
11800,2026-01-27 15:27:26,60.1304594,24.5154963,18.545,18.545,16.1022892,34.6472892,0,0.0235372,0.0222412,0.46534,25,99,15.078,34.6742892,18.572,0.0801311,0.0646557,0,0,0,265.3, 1.5, 2.3,0,0,1024,1024,1024,1689,0,0,0,100,266.62,0,0,61,,,,,,,13.58,18,34.6472892,18.545,6,P-GPS,
12000,2026-01-27 15:27:26,60.1304594,24.5154964,18.542,18.542,16.1022892,34.6442892,0,0.0143178,0.0229204,0.470879,24,99,15.066,34.6742892,18.572,0.0801311,0.0646557,0,0,0,276.7, 1.3, 3,0,0,1024,1024,1024,1689,0,0,0,100,277.75,0,0,61,,,,,,,13.654,18,34.6442892,18.542,6,P-GPS,
12200,2026-01-27 15:27:26,60.1304596,24.5154965,18.539,18.539,16.1022892,34.6412892,0,0.0226716,0.0110767,0.493799,24,99,15.066,34.6742892,18.572,0.0801311,0.0646557,0,0,0,288.5, 0.8, 2.3,0,0,1024,1024,1024,1689,0,0,0,100,290.11,0,0,61,,,,,,,13.654,18,34.6412892,18.539,6,P-GPS,
12400,2026-01-27 15:27:26,60.1304596,24.5154966,18.537,18.537,16.1022892,34.6392892,0,0.0174642,0.0166151,0.499338,24,99,15.066,34.6742892,18.572,0.0801311,0.0646557,0,0,0,300.5, 0.2, 1.8,0,0,1024,1024,1024,1689,0,0,0,100,301.78,0,0,61,,,,,,,13.654,18,34.6392892,18.537,6,P-GPS,
12600,2026-01-27 15:27:27,60.1304595,24.5154967,18.537,18.537,16.1022892,34.6392892,0,0.0373631,0.024788,0.511761,25,98,15.066,34.6742892,18.572,0.0801311,0.0646557,0,0,0,312.4, -0.8, 2.3,0,0,1024,1024,1024,1689,0,0,0,100,314.24,0,0,61,,,,,,,13.654,18,34.6392892,18.537,6,P-GPS,
12800,2026-01-27 15:27:27,60.1304594,24.5154968,18.535,18.535,16.1022892,34.6372892,0,0.0400125,0.0355177,0.524184,25,98,15.066,34.6742892,18.572,0.0801311,0.0646557,0,0,0,324.2, -1.9, 2.8,0,0,1024,1024,1024,1689,0,0,0,100,326.73,0,0,61,,,,,,,13.654,18,34.6372892,18.535,6,P-GPS,
13000,2026-01-27 15:27:27,60.1304593,24.5154968,18.535,18.535,16.1022892,34.6372892,0,0.0231948,0.0433572,0.535305,25,98,15.097,34.6742892,18.572,0.0801311,0.0646557,0,0,0,335.9, -2.7, 2.6,0,0,1024,1024,1024,1689,0,0,0,100,333.31,0,0,61,,,,,,,13.888,18,34.6372892,18.535,6,P-GPS,
13200,2026-01-27 15:27:27,60.1304592,24.5154969,18.539,18.539,16.1022892,34.6412892,0,0.00806226,0.0555242,0.547728,26,99,15.097,34.6742892,18.572,0.0801311,0.0646557,0,0,0,348, -3.1, 1.8,0,0,1024,1024,1024,1689,0,0,0,100,345.29,0,0,61,,,,,,,13.888,18,34.6412892,18.539,6,P-GPS,
13400,2026-01-27 15:27:27,60.1304592,24.515497,18.546,18.546,16.1022892,34.6482892,0,0.00360555,0.0590058,0.553267,26,99,15.097,34.6742892,18.572,0.0801311,0.0646557,0,0,0,359.9, -3.3, 1,0,0,1024,1024,1024,1689,0,0,0,100,357.87,0,0,61,,,,,,,13.888,18,34.6482892,18.546,6,P-GPS,
13600,2026-01-27 15:27:28,60.1304591,24.5154971,18.552,18.552,16.1022892,34.6542892,0,0.00316228,0.0710971,0.56569,26,97,15.097,34.6742892,18.572,0.0801311,0.0710971,0,0,0,11.9, -3.4, 0,0,0,1024,1024,1024,1024,0,0,0,0,10.3,0,0,61,,,,,,,13.888,18,34.6542892,18.552,6,P-GPS,
13800,2026-01-27 15:27:28,60.130459,24.5154972,18.557,18.557,16.1022892,34.6592892,0,0.00538516,0.0832862,0.578114,26,97,15.097,34.6742892,18.572,0.0801311,0.0832862,0,0,0,21.2, -3.4, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,19.7,0,0,61,,,,,,,13.888,18,34.6592892,18.557,6,P-GPS,
14000,2026-01-27 15:27:28,60.130459,24.5154973,18.563,18.563,16.1022892,34.6652892,0,0.00894427,0.0867144,0.583652,26,97,14.874,34.6742892,18.572,0.0801311,0.0867144,0,0,0,23.4, -3.5, -1.8,0,0,1024,1024,1024,1024,0,0,0,0,22.42,0.01,0,61,,,,,,,14.104,18,34.6652892,18.563,6,P-GPS,
14200,2026-01-27 15:27:28,60.1304591,24.5154971,18.568,18.568,16.1022892,34.6702892,0,0.0630317,0.0710971,0.599348,26,96,14.874,34.6742892,18.572,0.0801311,0.0867144,0,0,0,23.6, -3.4, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,23.01,2.71,0,61,,,,,,,14.104,18,34.6702892,18.568,6,P-GPS,
14400,2026-01-27 15:27:28,60.1304592,24.5154968,18.568,18.568,16.1022892,34.6702892,0,0.0877268,0.0523977,0.619341,26,96,14.874,34.6742892,18.572,0.0877268,0.0867144,0,0,0,23.5, -2.8, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,23.14,14.42,0,61,,,,,,,14.104,18,34.6702892,18.568,6,P-GPS,
14600,2026-01-27 15:27:29,60.1304593,24.5154967,18.567,18.567,16.1022892,34.6692892,0,0.0568243,0.0400473,0.631765,26,98,14.874,34.6742892,18.572,0.0877268,0.0867144,0,0,0,23.3, -2.4, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,23.18,26.51,0,61,,,,,,,14.104,18,34.6692892,18.567,6,P-GPS,
