time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
0,2026-01-27 15:32:40,60.1304596,24.5154969,-0.037,-0.037,16.1022892,16.0652892,0,0.001,0,0,25,96,0,16.0652892,0,0.001,0,0,0,0,215.3, 4, -2.1,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,0,22.4,16.0652892,-0.037,6,P-GPS,
200,2026-01-27 15:32:40,60.1304596,24.5154969,-0.041,-0.041,16.1022892,16.0612892,0,0.0067082,0,0,25,96,0,16.0652892,0,0.0067082,0,0,0,0,215.5, 4, -2.1,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.91,0,46,,,,,,,0,22.4,16.0612892,-0.041,6,P-GPS,
400,2026-01-27 15:32:40,60.1304597,24.5154969,-0.044,-0.044,16.1022892,16.0582892,0,0.0283196,0.0111206,0.0111206,25,96,0,16.0652892,0,0.0283196,0.0111206,0,0,0,215.8, 2.7, -2,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,0,22.4,16.0582892,-0.044,6,P-GPS,
600,2026-01-27 15:32:41,60.1304598,24.5154971,-0.039,-0.039,16.1022892,16.0632892,0,0.0425441,0.0248468,0.0268165,25,96,0,16.0652892,0,0.0425441,0.0248468,0,0,0,216.1, -1.8, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,0,22.4,16.0632892,-0.039,6,P-GPS,
800,2026-01-27 15:32:41,60.1304597,24.5154972,-0.011,-0.011,16.1022892,16.0912892,0,0.0245153,0.0199932,0.0392399,25,96,0,16.0912892,0,0.0425441,0.0248468,0,0,0,216.7, -2.3, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,0,22.4,16.0912892,-0.011,6,P-GPS,
1000,2026-01-27 15:32:41,60.1304598,24.5154972,0.078,0.078,16.1022892,16.1802892,0,0.036,0.0277621,0.0503606,25,96,14.678,16.1802892,0.078,0.0425441,0.0277621,0,0,0,216.5, -0.3, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,6.122,22.4,16.1802892,0.078,6,P-GPS,
1200,2026-01-27 15:32:41,60.1304598,24.5154971,0.186,0.186,16.1022892,16.2882892,0,0.067897,0.0248468,0.0558989,25,92,14.678,16.2882892,0.186,0.067897,0.0277621,0,0,0.1,216.4, -0.1, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,6.122,22.4,16.2882892,0.186,6,P-GPS,
1400,2026-01-27 15:32:41,60.1304598,24.5154969,0.306,0.306,16.1022892,16.4082892,0,0.059808,0.0222412,0.0669756,25,92,14.678,16.4082892,0.306,0.067897,0.0277621,0,0,0.1,216.5, -0.3, -2.2,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,6.122,22.4,16.4082892,0.306,6,P-GPS,
1600,2026-01-27 15:32:42,60.1304599,24.5154966,0.444,0.444,16.1022892,16.5462892,0,0.0371214,0.0372703,0.0869689,24,97,14.678,16.5462892,0.444,0.067897,0.0372703,0,0,0.1,216.6, 0.1, -2.8,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,6.122,22.4,16.5462892,0.444,6,P-GPS,
1800,2026-01-27 15:32:42,60.1304599,24.5154966,0.592,0.592,16.1022892,16.6942892,0,0.0160312,0.0372703,0.0869689,24,97,14.678,16.6942892,0.592,0.067897,0.0372703,0,0,0.1,216.5, -0.1, -2.7,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,6.122,22.4,16.6942892,0.592,6,P-GPS,
