time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),mileage(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
2000,2026-01-27 15:32:42,60.1304598,24.5154967,0.745,0.745,16.1022892,16.8472892,0,0.0513128,0.0248468,0.0993923,24,97,14.798,16.8472892,0.745,0.067897,0.0372703,0,0,0.1,216.6, 0.2, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,14.874,22.4,16.8472892,0.745,6,P-GPS,
2200,2026-01-27 15:32:42,60.1304598,24.5154966,0.884,0.884,16.1022892,16.9862892,0,0.0475079,0.0277621,0.104931,23,92,14.798,16.9862892,0.884,0.067897,0.0372703,0,0,0.1,216.7, 0.5, -1,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,14.874,22.4,16.9862892,0.884,6,P-GPS,
2400,2026-01-27 15:32:42,60.1304597,24.5154966,1.029,1.029,16.1022892,17.1312892,0,0.0404599,0.0199932,0.116051,23,92,14.798,17.1312892,1.029,0.067897,0.0372703,0,0,0.1,216.7, 0.5, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,14.874,22.4,17.1312892,1.029,6,P-GPS,
2600,2026-01-27 15:32:43,60.1304597,24.5154967,1.159,1.159,16.1022892,17.2612892,0,0.0336006,0.0156959,0.12159,23,92,14.798,17.2612892,1.159,0.067897,0.0372703,0,0,0,216.7, 0.7, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,14.874,22.4,17.2612892,1.159,6,P-GPS,
2800,2026-01-27 15:32:43,60.1304596,24.5154969,1.26,1.26,16.1022892,17.3622892,0,0.062434,0,0.137286,23,92,14.798,17.3622892,1.26,0.067897,0.0372703,0,0,0,216.7, 0.7, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,14.874,22.4,17.3622892,1.26,6,P-GPS,
3000,2026-01-27 15:32:43,60.1304596,24.5154971,1.318,1.318,16.1022892,17.4202892,0,0.052,0.0110767,0.148362,23,92,14.41,17.4202892,1.318,0.067897,0.0372703,0,0,0,216.6, 0.5, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,14.62,22.4,17.4202892,1.318,6,P-GPS,
3200,2026-01-27 15:32:43,60.1304596,24.5154972,1.344,1.344,16.1022892,17.4462892,0,0.0280713,0.0166151,0.153901,23,86,14.41,17.4462892,1.344,0.067897,0.0372703,0,0,0,216.6, 0.5, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,14.62,22.4,17.4462892,1.344,6,P-GPS,
3400,2026-01-27 15:32:43,60.1304596,24.5154975,1.362,1.362,16.1022892,17.4642892,0,0.0430116,0.0332302,0.170516,23,86,14.41,17.4642892,1.362,0.067897,0.0372703,0,0,0,216.6, 0, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,215.04,-22.9,0,46,,,,,,,14.62,22.4,17.4642892,1.362,6,P-GPS,
3600,2026-01-27 15:32:44,60.1304596,24.5154976,1.377,1.377,16.1022892,17.4792892,0,0.032,0.0387685,0.176054,23,86,14.41,17.4792892,1.377,0.067897,0.0387685,0,0,0,216.6, -0.3, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,215.24,-22.9,0,46,,,,,,,14.62,22.4,17.4792892,1.377,6,P-GPS,
3800,2026-01-27 15:32:44,60.1304597,24.5154974,1.387,1.387,16.1022892,17.4892892,0,0.00824621,0.0298413,0.19175,24,95,14.41,17.4892892,1.387,0.067897,0.0387685,0,0,0,216.2, 0, 0,0,0,1024,1024,1024,1024,0,0,0,0,215.67,-22.9,0,46,,,,,,,14.62,22.4,17.4892892,1.387,6,P-GPS,
4000,2026-01-27 15:32:44,60.1304597,24.5154973,1.397,1.397,16.1022892,17.4992892,0,0.0214709,0.024788,0.197288,24,95,14.339,17.4992892,1.397,0.067897,0.0387685,0,0,0,215.8, -0.1, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,215.57,-22.9,0,46,,,,,,,14.62,22.4,17.4992892,1.397,6,P-GPS,
4200,2026-01-27 15:32:44,60.1304597,24.5154973,1.416,1.416,16.1022892,17.5182892,0,0.0166433,0.024788,0.197288,24,95,14.339,17.5182892,1.416,0.067897,0.0387685,0,0,0,215.5, 0, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,215.35,-22.9,0,46,,,,,,,14.62,22.4,17.5182892,1.416,6,P-GPS,
4400,2026-01-27 15:32:44,60.1304597,24.5154974,1.456,1.456,16.1022892,17.5582892,0,0.01,0.0298413,0.202827,24,95,14.339,17.5582892,1.456,0.067897,0.0387685,0,0,0,215.3, -0.1, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,215.18,-22.9,0,46,,,,,,,14.62,22.4,17.5582892,1.456,6,P-GPS,
4600,2026-01-27 15:32:45,60.1304597,24.5154974,1.456,1.456,16.1022892,17.5582892,0,0.01,0.0298413,0.202827,24,95,14.339,17.5582892,1.456,0.067897,0.0387685,0,0,0,215.3, -0.1, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,215.18,-22.9,0,46,,,,,,,14.62,22.4,17.5582892,1.456,6,P-GPS,
4800,2026-01-27 15:32:45,60.1304597,24.5154974,1.532,1.532,16.1022892,17.6342892,0,0.0067082,0.0298413,0.202827,25,97,14.339,17.6342892,1.532,0.067897,0.0387685,0,0,0.1,215.1, 0, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,215.06,-22.9,0,46,,,,,,,14.62,22.4,17.6342892,1.532,6,P-GPS,
5000,2026-01-27 15:32:45,60.1304597,24.5154973,1.909,1.909,16.1022892,18.0112892,0,0.0205183,0.024788,0.208365,25,97,14.512,18.0112892,1.909,0.067897,0.0387685,0,0,0.1,215, -0.3, -1,0,0,1024,1024,1024,1024,0,0,0,0,214.91,-22.9,0,46,,,,,,,13.538,22.4,18.0112892,1.909,6,P-GPS,
5200,2026-01-27 15:32:45,60.1304597,24.5154973,2.224,2.224,16.1022892,18.3262892,0,0.0240208,0.024788,0.208365,25,96,14.512,18.3262892,2.224,0.067897,0.0387685,0,0,0.2,215, -0.1, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,214.87,-22.9,0,46,,,,,,,13.538,22.4,18.3262892,2.224,6,P-GPS,
5400,2026-01-27 15:32:45,60.1304596,24.5154972,2.629,2.629,16.1022892,18.7312892,0,0.0247386,0.0166151,0.220788,25,96,14.512,18.7312892,2.629,0.067897,0.0387685,0,0,0.2,214.9, 0.1, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.9,0,46,,,,,,,13.538,22.4,18.7312892,2.629,6,P-GPS,
5600,2026-01-27 15:32:46,60.1304596,24.5154971,3.12,3.12,16.1022892,19.2222892,0,0.05,0.0110767,0.226327,25,96,14.512,19.2222892,3.12,0.067897,0.0387685,0,0,0.3,214.9, 0.6, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.9,0,46,,,,,,,13.538,22.4,19.2222892,3.12,6,P-GPS,
5800,2026-01-27 15:32:46,60.1304596,24.5154971,3.12,3.12,16.1022892,19.2222892,0,0.05,0.0110767,0.226327,24,97,14.512,19.2222892,3.12,0.067897,0.0387685,0,0,0.3,214.9, 0.6, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.9,0,46,,,,,,,13.538,22.4,19.2222892,3.12,6,P-GPS,
6000,2026-01-27 15:32:46,60.1304596,24.5154971,3.689,3.689,16.1022892,19.7912892,0,0.02,0.0110767,0.226327,24,97,14.4,19.7912892,3.689,0.067897,0.0387685,0,0,0.3,214.8, 1.5, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.89,0,46,,,,,,,15.906,22.4,19.7912892,3.689,6,P-GPS,
6200,2026-01-27 15:32:46,60.1304595,24.5154974,4.352,4.352,16.1022892,20.4542892,0,0.0684105,0.0298413,0.24632,25,94,14.4,20.4542892,4.352,0.0684105,0.0387685,0,0,0.4,214.9, 0.8, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,214.86,-22.9,0,46,,,,,,,15.906,22.4,20.4542892,4.352,6,P-GPS,
6400,2026-01-27 15:32:46,60.1304595,24.5154976,5.932,5.932,16.1022892,22.0342892,0,0.01,0.040332,0.257397,25,94,14.4,22.0342892,5.932,0.0684105,0.040332,0,0,0.4,215, -0.1, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,214.86,-22.9,0,46,,,,,,,15.906,22.4,22.0342892,5.932,6,P-GPS,
6600,2026-01-27 15:32:47,60.1304595,24.5154976,5.932,5.932,16.1022892,22.0342892,0,0.01,0.040332,0.257397,25,94,14.4,22.0342892,5.932,0.0684105,0.040332,0,0,0.4,215, -0.1, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,214.86,-22.9,0,46,,,,,,,15.906,22.4,22.0342892,5.932,6,P-GPS,
6800,2026-01-27 15:32:47,60.1304596,24.5154975,6.839,6.839,16.1022892,22.9412892,0,0.0402616,0.0332302,0.26982,26,97,14.4,22.9412892,6.839,0.0684105,0.040332,0,0,0.5,214.9, 0.5, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.9,0,46,,,,,,,15.906,22.4,22.9412892,6.839,6,P-GPS,
7000,2026-01-27 15:32:47,60.1304596,24.5154972,7.785,7.785,16.1022892,23.8872892,0,0.0478539,0.0166151,0.286435,26,97,14.247,23.8872892,7.785,0.0684105,0.040332,0,0,0.5,214.9, 1.4, -1,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.9,0,46,,,,,,,20.606,22.4,23.8872892,7.785,6,P-GPS,
7200,2026-01-27 15:32:47,60.1304596,24.515497,8.793,8.793,16.1022892,24.8952892,0,0.0290172,0.00553836,0.297512,29,97,14.247,24.8952892,8.793,0.0684105,0.040332,0,0,0.5,214.9, 1.9, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.9,0,46,,,,,,,20.606,22.4,24.8952892,8.793,6,P-GPS,
7400,2026-01-27 15:32:47,60.1304597,24.5154968,9.834,9.834,16.1022892,25.9362892,0,0.0294109,0.0124234,0.313208,29,97,14.247,25.9362892,9.834,0.0684105,0.040332,0,0,0.5,214.9, 1.4, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.9,0,46,,,,,,,20.606,22.4,25.9362892,9.834,6,P-GPS,
7600,2026-01-27 15:32:48,60.1304598,24.5154969,10.886,10.886,16.1022892,26.9882892,0,0.0432666,0.0222412,0.325631,29,97,14.247,26.9882892,10.886,0.0684105,0.040332,0,0,0.5,214.8, 0.5, -2.4,0,0,1024,1024,1024,1024,0,0,0,0,214.86,-22.89,0,46,,,,,,,20.606,22.4,26.9882892,10.886,6,P-GPS,
7800,2026-01-27 15:32:48,60.1304599,24.5154972,12.97,12.97,16.1022892,29.0722892,0,0.0523546,0.0372703,0.345625,29,99,14.247,29.0722892,12.97,0.0684105,0.040332,0,0,0.5,214.9, -0.4, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.9,0,46,,,,,,,20.606,22.4,29.0722892,12.97,6,P-GPS,
8000,2026-01-27 15:32:48,60.1304597,24.5154974,14.014,14.014,16.1022892,30.1162892,0,0.0603738,0.0298413,0.370471,29,99,14.192,30.1162892,14.014,0.0684105,0.040332,0,0,0.5,214.9, -0.4, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.9,0,46,,,,,,,23.792,22.4,30.1162892,14.014,6,P-GPS,
8200,2026-01-27 15:32:48,60.1304597,24.5154974,14.014,14.014,16.1022892,30.1162892,0,0.0603738,0.0298413,0.370471,30,99,14.192,30.1162892,14.014,0.0684105,0.040332,0,0,0.5,214.8, 0.3, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.9,0,46,,,,,,,23.792,22.4,30.1162892,14.014,6,P-GPS,
8400,2026-01-27 15:32:48,60.1304596,24.5154974,15.048,15.048,16.1022892,31.1502892,0,0.0543323,0.0276918,0.381592,30,99,14.192,31.1502892,15.048,0.0684105,0.040332,0,0,0.5,214.9, 1.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.9,0,46,,,,,,,23.792,22.4,31.1502892,15.048,6,P-GPS,
8600,2026-01-27 15:32:49,60.1304596,24.5154973,16.077,16.077,16.1022892,32.1792892,0,0.035805,0.0221534,0.38713,30,99,14.192,32.1792892,16.077,0.0684105,0.040332,0,0,0.5,214.9, 1.6, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.9,0,46,,,,,,,23.792,22.4,32.1792892,16.077,6,P-GPS,
8800,2026-01-27 15:32:49,60.1304596,24.5154972,17.099,17.099,16.1022892,33.2012892,0,0.0269258,0.0166151,0.392669,31,99,14.192,33.2012892,17.099,0.0684105,0.040332,0,0,0.5,214.9, 1.7, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.9,0,46,,,,,,,23.792,22.4,33.2012892,17.099,6,P-GPS,
9000,2026-01-27 15:32:49,60.1304596,24.5154971,18.106,18.106,16.1022892,34.2082892,0,0.0107703,0.0110767,0.398207,31,99,14.294,34.2082892,18.106,0.0684105,0.040332,0,0,0.5,214.9, 1.8, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,214.85,-22.89,0,46,,,,,,,22.76,22.5,34.2082892,18.106,6,P-GPS,
9200,2026-01-27 15:32:49,60.1304596,24.5154971,19.128,19.128,16.1022892,35.2302892,0,0.0142127,0.0110767,0.398207,31,99,14.294,35.2302892,19.128,0.0684105,0.040332,0,0,0.5,215, 1.5, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,214.81,-22.9,0,46,,,,,,,22.76,22.5,35.2302892,19.128,6,P-GPS,
9400,2026-01-27 15:32:49,60.1304596,24.515497,20.155,20.155,16.1022892,36.2572892,0,0.032249,0.00553836,0.403746,31,99,14.294,36.2572892,20.155,0.0684105,0.040332,0,0,0.5,214.9, 1.4, -1.8,0,0,1024,1024,1024,1024,0,0,0,0,214.8,-22.9,0,46,,,,,,,22.76,22.5,36.2572892,20.155,6,P-GPS,
9600,2026-01-27 15:32:50,60.1304597,24.515497,21.182,21.182,16.1022892,37.2842892,0,0.0275136,0.0124234,0.414866,31,99,14.294,37.2842892,21.182,0.0684105,0.040332,0,0,0.5,214.8, 1.6, -2.1,0,0,1024,1024,1024,1024,0,0,0,0,214.8,-22.9,0,46,,,,,,,22.76,22.5,37.2842892,21.182,6,P-GPS,
9800,2026-01-27 15:32:50,60.1304597,24.515497,22.216,22.216,16.1022892,38.3182892,0,0.005,0.0124234,0.414866,31,99,14.294,38.3182892,22.216,0.0684105,0.040332,0,0,0.5,214.9, 1.5, -2.4,0,0,1024,1024,1024,1024,0,0,0,0,214.81,-22.9,0,46,,,,,,,22.76,22.5,38.3182892,22.216,6,P-GPS,
10000,2026-01-27 15:32:50,60.1304597,24.5154971,23.239,23.239,16.1022892,39.3412892,0,0.035171,0.0156959,0.420404,31,99,14.198,39.3412892,23.239,0.0684105,0.040332,0,0,0.5,215, 1.8, -2,0,0,1024,1024,1024,1024,0,0,0,0,214.81,-22.89,0,46,,,,,,,21.734,22.5,39.3412892,23.239,6,P-GPS,
10200,2026-01-27 15:32:50,60.1304596,24.5154973,24.261,24.261,16.1022892,40.3632892,0,0.0578705,0.0221534,0.4361,31,99,14.198,40.3632892,24.261,0.0684105,0.040332,0,0,0.5,214.9, 1.1, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,214.81,-22.9,0,46,,,,,,,21.734,22.5,40.3632892,24.261,6,P-GPS,
10400,2026-01-27 15:32:50,60.1304596,24.5154976,25.288,25.288,16.1022892,41.3902892,0,0.0534509,0.0387685,0.452715,31,99,14.198,41.3902892,25.288,0.0684105,0.040332,0,0,0.5,214.9, 0.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,214.78,-22.9,0,46,,,,,,,21.734,22.5,41.3902892,25.288,6,P-GPS,
10600,2026-01-27 15:32:51,60.1304596,24.5154977,26.323,26.323,16.1022892,42.4252892,0,0.0246982,0.0443069,0.458254,31,99,14.198,42.4252892,26.323,0.0684105,0.0443069,0,0,0.5,214.9, 0.9, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,214.78,-22.9,0,46,,,,,,,21.734,22.5,42.4252892,26.323,6,P-GPS,
10800,2026-01-27 15:32:51,60.1304596,24.5154976,27.353,27.353,16.1022892,43.4552892,0,0.0186815,0.0387685,0.463792,31,99,14.198,43.4552892,27.353,0.0684105,0.0443069,0,0,0.5,214.9, 1.2, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,214.78,-22.9,0,46,,,,,,,21.734,22.5,43.4552892,27.353,6,P-GPS,
11000,2026-01-27 15:32:51,60.1304596,24.5154975,28.372,28.372,16.1022892,44.4742892,0,0.0320156,0.0332302,0.469331,31,99,14.09,44.4742892,28.372,0.0684105,0.0443069,0,0,0.5,214.9, 1.5, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,214.78,-22.9,0,46,,,,,,,23.042,22.6,44.4742892,28.372,6,P-GPS,
11200,2026-01-27 15:32:51,60.1304596,24.5154973,29.4,29.4,16.1022892,45.5022892,0,0.0423792,0.0221534,0.480407,31,99,14.09,45.5022892,29.4,0.0684105,0.0443069,0,0,0.5,214.8, 1.8, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,214.79,-22.89,0,46,,,,,,,23.042,22.6,45.5022892,29.4,6,P-GPS,
11400,2026-01-27 15:32:51,60.1304595,24.5154972,30.943,30.943,16.1022892,47.0452892,0,0.0230217,0.0199932,0.492831,31,99,14.09,47.0452892,30.943,0.0684105,0.0443069,0,0,0.5,214.9, 2.6, -1.2,0,0,1024,1024,1024,1024,0,0,0,0,214.8,-22.9,0,46,,,,,,,23.042,22.6,47.0452892,30.943,6,P-GPS,
11600,2026-01-27 15:32:52,60.1304595,24.5154972,31.967,31.967,16.1022892,48.0692892,0,0.00608276,0.0199932,0.492831,31,99,14.09,48.0692892,31.967,0.0684105,0.0443069,0,0,0.5,214.9, 2.4, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,214.8,-22.9,0,46,,,,,,,23.042,22.6,48.0692892,31.967,6,P-GPS,
11800,2026-01-27 15:32:52,60.1304595,24.5154973,32.479,32.479,16.1022892,48.5812892,0,0.0134164,0.024788,0.498369,30,99,14.09,48.5812892,32.479,0.0684105,0.0443069,0,0,0.5,214.9, 2.2, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,214.8,-22.9,0,46,,,,,,,23.042,22.6,48.5812892,32.479,6,P-GPS,
12000,2026-01-27 15:32:52,60.1304595,24.5154974,33.996,33.996,16.1022892,50.0982892,0,0.00509902,0.0298413,0.503907,30,99,14.216,50.0982892,33.996,0.0684105,0.0443069,0,0,0.5,214.8, 1.6, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,214.8,-22.9,0,46,,,,,,,21.54,22.6,50.0982892,33.996,6,P-GPS,
12200,2026-01-27 15:32:52,60.1304595,24.5154974,35.02,35.02,16.1022892,51.1222892,0,0.0155563,0.0298413,0.503907,30,99,14.216,51.1222892,35.02,0.0684105,0.0443069,0,0,0.5,214.8, 2.2, -0.3,0,0,1024,1024,1024,1024,0,0,0,0,214.79,-22.9,0,46,,,,,,,21.54,22.6,51.1222892,35.02,6,P-GPS,
12400,2026-01-27 15:32:52,60.1304595,24.5154973,36.036,36.036,16.1022892,52.1382892,0,0.0304138,0.024788,0.509446,30,99,14.216,52.1382892,36.036,0.0684105,0.0443069,0,0,0.5,214.8, 2.7, -0.4,0,0,1024,1024,1024,1024,0,0,0,0,214.8,-22.9,0,46,,,,,,,21.54,22.6,52.1382892,36.036,6,P-GPS,
12600,2026-01-27 15:32:53,60.1304595,24.5154971,36.99,36.99,16.1022892,53.0922892,0,0.0246982,0.0156959,0.520523,30,99,14.216,53.0922892,36.99,0.0684105,0.0443069,0,0,0.5,214.9, 3.1, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,214.8,-22.9,0,46,,,,,,,21.54,22.6,53.0922892,36.99,6,P-GPS,
12800,2026-01-27 15:32:53,60.1304595,24.515497,37.934,37.934,16.1022892,54.0362892,0,0.0197231,0.0124234,0.526061,31,99,14.216,54.0362892,37.934,0.0684105,0.0443069,0,0,0.5,214.9, 3.2, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,214.8,-22.9,0,46,,,,,,,21.54,22.6,54.0362892,37.934,6,P-GPS,
13000,2026-01-27 15:32:53,60.1304596,24.515497,38.921,38.921,16.1022892,55.0232892,0,0.0332415,0.00553836,0.537181,31,99,14.127,55.0232892,38.921,0.0684105,0.0443069,0,0,0.5,214.9, 2.6, -1,0,0,1024,1024,1024,1024,0,0,0,0,214.8,-22.89,0,46,,,,,,,20.772,22.7,55.0232892,38.921,6,P-GPS,
13200,2026-01-27 15:32:53,60.1304597,24.515497,39.919,39.919,16.1022892,56.0212892,0,0.0417852,0.0124234,0.548302,31,99,14.127,56.0212892,39.919,0.0684105,0.0443069,0,0,0.5,214.8, 2, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,214.8,-22.9,0,46,,,,,,,20.772,22.7,56.0212892,39.919,6,P-GPS,
13400,2026-01-27 15:32:53,60.1304598,24.5154971,40.943,40.943,16.1022892,57.0452892,0,0.0362353,0.0248468,0.560726,31,99,14.127,57.0452892,40.943,0.0684105,0.0443069,0,0,0.5,214.9, 1.3, -1.3,0,0,1024,1024,1024,1024,0,0,0,0,214.8,-22.9,0,46,,,,,,,20.772,22.7,57.0452892,40.943,6,P-GPS,
13600,2026-01-27 15:32:54,60.1304598,24.5154972,41.983,41.983,16.1022892,58.0852892,0,0.0259615,0.0277621,0.566264,31,99,14.127,58.0852892,41.983,0.0684105,0.0443069,0,0,0.5,214.9, 1.2, -0.7,0,0,1024,1024,1024,1024,0,0,0,0,214.8,-22.89,0,46,,,,,,,20.772,22.7,58.0852892,41.983,6,P-GPS,
13800,2026-01-27 15:32:54,60.1304598,24.5154974,43.012,43.012,16.1022892,59.1142892,0,0.0134164,0.0355177,0.577341,31,99,14.127,59.1142892,43.012,0.0684105,0.0443069,0,0,0.5,214.9, 1.1, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,214.8,-22.9,0,46,,,,,,,20.772,22.7,59.1142892,43.012,6,P-GPS,
