altitude,geo_altitude,height,horizontal_accuracy,location.lat,location.lon,pressure,speed_accuracy,time,velocity.x,velocity.y,velocity.z,vertical_accuracy
-4.88,35.12470627727428,-0.11,1.0,60.13045120239258,24.515531539916992,1013.8364684992589,,2026-01-27T15:26:10Z,0.0,0.0,0.0,3.0
-4.77,35.12470627727428,0.0,1.0,60.13045120239258,24.51552963256836,1013.8231178991495,,2026-01-27T15:26:11Z,0.0,0.0,0.0,3.0
-4.88,35.12470627727428,-0.11,1.0,60.13045120239258,24.51552963256836,1013.8364684992589,,2026-01-27T15:26:12Z,0.0,0.0,0.0,3.0
-4.88,35.29254783484393,-0.11,1.0,60.13045120239258,24.51552963256836,1013.8364684992589,,2026-01-27T15:26:13Z,0.0,0.0,0.0,3.0
-4.88,35.46038939241358,-0.11,1.0,60.13045120239258,24.51552963256836,1013.8364684992589,,2026-01-27T15:26:14Z,0.0,0.0,0.0,3.0
-4.88,35.62823094998324,-0.11,1.0,60.13045120239258,24.515527725219727,1013.8364684992589,,2026-01-27T15:26:15Z,0.0,0.0,0.0,3.0
-4.77,35.62823094998324,0.0,1.0,60.13045120239258,24.515527725219727,1013.8231178991495,,2026-01-27T15:26:16Z,0.0,0.0,0.0,3.0
-4.77,35.62823094998324,0.0,1.0,60.13045120239258,24.515527725219727,1013.8231178991495,,2026-01-27T15:26:17Z,0.0,0.0,0.0,3.0
-4.77,35.963914065122545,0.0,1.0,60.13045120239258,24.51552963256836,1013.8231178991495,,2026-01-27T15:26:18Z,0.0,0.0,0.0,3.0
-4.77,36.299597180261856,0.0,1.0,60.13045120239258,24.515531539916992,1013.8231178991495,,2026-01-27T15:26:19Z,0.0,0.0,0.0,3.0
-4.77,36.63528029540117,0.0,1.0,60.13044357299805,24.515533447265625,1013.8231178991495,,2026-01-27T15:26:20Z,0.0,0.0,0.0,3.0
-4.77,36.97096341054047,0.0,1.0,60.13044357299805,24.515535354614258,1013.8231178991495,,2026-01-27T15:26:21Z,0.0,0.0,0.0,3.0
-4.88,37.13880496811013,-0.11,1.0,60.13044357299805,24.51553726196289,1013.8364684992589,,2026-01-27T15:26:22Z,0.0,0.0,0.0,3.0
-4.77,37.30664652567978,0.0,1.0,60.13044357299805,24.51553726196289,1013.8231178991495,,2026-01-27T15:26:23Z,0.0,0.0,0.0,3.0
-4.77,37.47448808324943,0.0,1.0,60.13044357299805,24.515539169311523,1013.8231178991495,,2026-01-27T15:26:24Z,0.0,0.0,0.0,3.0
-4.88,37.64232964081909,-0.11,1.0,60.13044357299805,24.515539169311523,1013.8364684992589,,2026-01-27T15:26:25Z,0.0,0.0,0.0,3.0
-4.77,37.64232964081909,0.0,1.0,60.13044357299805,24.515539169311523,1013.8231178991495,,2026-01-27T15:26:26Z,0.0,0.0,0.0,3.0
-4.88,37.64232964081909,-0.11,1.0,60.13044357299805,24.515539169311523,1013.8364684992589,,2026-01-27T15:26:27Z,0.0,0.0,0.0,3.0
-4.77,37.810171198388744,0.0,1.0,60.13044357299805,24.515539169311523,1013.8231178991495,,2026-01-27T15:26:28Z,0.0,0.0,0.0,3.0
-4.77,37.64232964081909,0.0,1.0,60.13044357299805,24.515539169311523,1013.8231178991495,,2026-01-27T15:26:29Z,0.0,0.0,0.0,3.0
-4.77,37.810171198388744,0.0,1.0,60.13044357299805,24.51553726196289,1013.8231178991495,,2026-01-27T15:26:30Z,0.0,0.0,0.0,3.0
-4.88,37.810171198388744,-0.11,1.0,60.13044357299805,24.515535354614258,1013.8364684992589,,2026-01-27T15:26:31Z,0.0,0.0,0.0,3.0
-4.88,37.810171198388744,-0.11,1.0,60.13044357299805,24.51553726196289,1013.8364684992589,,2026-01-27T15:26:32Z,0.0,0.0,0.0,3.0
-4.88,37.810171198388744,-0.11,1.0,60.13044357299805,24.51553726196289,1013.8364684992589,,2026-01-27T15:26:33Z,0.0,0.0,0.0,3.0
-4.88,37.810171198388744,-0.11,1.0,60.13044357299805,24.515535354614258,1013.8364684992589,,2026-01-27T15:26:34Z,0.0,0.0,0.0,3.0
-4.88,37.810171198388744,-0.11,1.0,60.13044357299805,24.515535354614258,1013.8364684992589,,2026-01-27T15:26:35Z,0.0,0.0,0.0,3.0
-4.88,37.810171198388744,-0.11,1.0,60.13044357299805,24.515535354614258,1013.8364684992589,,2026-01-27T15:26:36Z,0.0,0.0,0.0,3.0
-4.88,37.64232964081909,-0.11,1.0,60.13044357299805,24.515535354614258,1013.8364684992589,,2026-01-27T15:26:37Z,0.0,0.0,0.0,3.0
-4.88,37.64232964081909,-0.11,1.0,60.13044357299805,24.515535354614258,1013.8364684992589,,2026-01-27T15:26:38Z,0.0,0.0,0.0,3.0
-4.88,37.64232964081909,-0.11,1.0,60.13044357299805,24.515533447265625,1013.8364684992589,,2026-01-27T15:26:39Z,0.0,0.0,0.0,3.0
-4.88,37.47448808324943,-0.11,1.0,60.13044357299805,24.515533447265625,1013.8364684992589,,2026-01-27T15:26:40Z,0.0,0.0,0.0,3.0
-4.88,37.47448808324943,-0.11,1.0,60.13044357299805,24.515533447265625,1013.8364684992589,,2026-01-27T15:26:41Z,0.0,0.0,0.0,3.0
-4.88,37.30664652567978,-0.11,1.0,60.13044357299805,24.515533447265625,1013.8364684992589,,2026-01-27T15:26:42Z,0.0,0.0,0.0,3.0
-4.88,37.13880496811013,-0.11,1.0,60.13044357299805,24.515533447265625,1013.8364684992589,,2026-01-27T15:26:43Z,0.0,0.0,0.0,3.0
